ncontrato,ncat,regist,cuotamensual,opcionmoneda,,
00056,90100611,RGK-582,8.33,2,,
00056,80097,RGK-582,8.33,2,,
00056,81836,RGK-582,8.33,2,,
00107,21912708,TG-1757,42,2,,
00107,20791393,TG-1757,5.25,2,,
00107,20393872,TG-1757,5.25,2,,
00107,20592931,TG-1757,5.25,2,,
00107,20694991,TG-1757,5.25,2,,
00107,21912712,JG-8480,5,2,,
00107,10400629,JG-8480,5,2,,
00107,20492939,JG-8480,5,2,,
00107,20393888,JG-8480,5,2,,
00107,20592418,JG-8480,5,2,,
00061,20911026,RE-6881,8.33,2,,
00061,20912925,RE-6881,8.33,2,,
00061,20914913,RE-6881,8.33,2,,
00061,20196269,RE-6881,8.33,2,,
00061,20097448,RE-6881,8.33,2,,
00061,20099037,RE-6881,8.33,2,,
00061,90402914,RE-6881,8.33,2,,
00061,90501917,RE-6881,8.33,2,,
00061,20094095,RE-6881,8.33,2,,
00058,79843,RE-7585,8.33,2,,
00058,90401854,RE-7585,8.33,2,,
00058,90601878,RE-7585,8.33,2,,
00062,78269,RGX-625,8.33,2,,
00062,81266,RGX-625,8.33,2,,
00258,201746582,F6A-820,0,1,,
00258,201749074,F6A-820,54.17,1,,
00258,201751584,F6A-820,54.17,1,,
00258,201734859,F6A-820,54.17,1,,
00258,201740002,F6A-820,54.17,1,,
00258,201746550,F6A-820,54.17,1,,
00258,201720652,F6A-820,54.17,1,,
00258,201723866,F6A-820,54.17,1,,
00258,201728703,F6A-820,54.17,1,,
00258,201708237,F6A-820,54.17,1,,
00258,201712419,F6A-820,54.17,1,,
00258,201715980,F6A-820,54.17,1,,
00245,16421745,F6A-820,54.17,1,,
00245,16423936,F6A-820,54.17,1,,
00258,201705393,F6A-820,54.17,1,,
00245,16411822,F6A-820,54.17,1,,
00245,16415093,F6A-820,54.17,1,,
00245,16419258,F6A-820,54.17,1,,
00245,15415065,F6A-820,54.17,1,,
00245,15417964,F6A-820,54.17,1,,
00245,16407763,F6A-820,54.17,1,,
00245,15409971,F6A-820,54.17,1,,
00245,15411664,F6A-820,54.17,1,,
00245,15413386,F6A-820,54.17,1,,
00223,15405430,F6A-820,10.83,2,,
00223,15406465,F6A-820,10.83,2,,
00245,15408715,F6A-820,54.17,1,,
00223,15402182,F6A-820,10.83,2,,
00223,15403231,F6A-820,10.83,2,,
00223,15404245,F6A-820,10.83,2,,
00223,14415801,F6A-820,10.83,2,,
00223,14416660,F6A-820,10.83,2,,
00223,15401032,F6A-820,10.83,2,,
00223,14412099,F6A-820,10.83,2,,
00223,14413179,F6A-820,10.83,2,,
00223,14414324,F6A-820,10.83,2,,
00201,14408477,F6A-820,15.42,2,,
00201,14409584,F6A-820,15.42,2,,
00223,14411379,F6A-820,10.83,2,,
00201,14404694,F6A-820,15.42,2,,
00201,14405578,F6A-820,15.42,2,,
00201,14407139,F6A-820,15.42,2,,
00201,13407882,F6A-820,15.42,2,,
00201,13408576,F6A-820,15.42,2,,
00201,14403264,F6A-820,15.42,2,,
00176,13405592,F6A-820,15.42,2,,
00201,13406540,F6A-820,15.42,2,,
00201,13407203,F6A-820,15.42,2,,
00176,13403338,F6A-820,15.42,2,,
00201,13404074,F6A-820,15.42,2,,
00201,13404823,F6A-820,15.42,2,,
00176,13401265,F6A-820,15.42,2,,
00176,13401817,F6A-820,15.42,2,,
00176,13402588,F6A-820,15.42,2,,
00176,12407853,F6A-820,15.42,2,,
00176,12408603,F6A-820,15.42,2,,
00176,13400522,F6A-820,15.42,2,,
00176,12405401,F6A-820,15.42,2,,
00176,12406278,F6A-820,15.42,2,,
00176,12407116,F6A-820,15.42,2,,
00154,12402882,F6A-820,13.75,2,,
00154,12403761,F6A-820,13.75,2,,
00176,12404570,F6A-820,15.42,2,,
00154,12400432,F6A-820,13.75,2,,
00154,12401293,F6A-820,13.75,2,,
00154,12402059,F6A-820,13.75,2,,
00154,11413702,F6A-820,13.75,2,,
00154,11414703,F6A-820,13.75,2,,
00154,11415603,F6A-820,13.75,2,,
00154,11410867,F6A-820,13.75,2,,
00154,11411853,F6A-820,13.75,2,,
00154,11412725,F6A-820,13.75,2,,
00130,11407413,F6A-820,15.41,2,,
00130,11408739,F6A-820,15.41,2,,
00154,11409916,F6A-820,13.75,2,,
00130,11404335,F6A-820,15.41,2,,
00130,11405131,F6A-820,15.41,2,,
00130,11406421,F6A-820,15.41,2,,
00130,10410439,F6A-820,15.41,2,,
00130,11403238,F6A-820,15.41,2,,
00130,11403822,F6A-820,15.41,2,,
00130,10406669,F6A-820,15.41,2,,
00130,10408071,F6A-820,15.41,2,,
00130,10409237,F6A-820,15.41,2,,
00095,10401866,F6A-820,15.41,2,,
00095,10403388,F6A-820,15.41,2,,
00130,10405321,F6A-820,15.41,2,,
00095,20791310,F6A-820,15.41,2,,
00130,10003734,F6A-820,0,2,,
00095,10400552,F6A-820,15.41,2,,
00095,20913312,F6A-820,15.41,2,,
00095,20914439,F6A-820,15.41,2,,
00095,21912660,F6A-820,15.41,2,,
00095,20492720,F6A-820,15.41,2,,
00095,20295840,F6A-820,15.41,2,,
00095,20694457,F6A-820,15.41,2,,
00006,78736,UO-9888,15.41,2,,
00006,80623,UO-9888,15.41,2,,
00006,90203354,UO-9888,15.42,2,,
00129,11403845,RGH-958,9.25,2,,
00066,20094559,RGH-958,8.33,2,,
00090,20096066,RGH-958,8.33,2,,
00090,20098290,RGH-958,8.33,2,,
00066,90302977,RGH-958,8.33,2,,
00066,20093422,RGH-958,8.33,2,,
00066,90601201,RGH-958,8.33,2,,
00032,77969,RGJ-573,8.33,2,,
00032,80279,RGJ-573,8.33,2,,
00032,90700340,RGJ-573,8.33,2,,
00082,20913178,RY-5828,8.33,2,,
00082,20915325,RY-5828,8.33,2,,
00082,20791766,RY-5828,8.33,2,,
00082,20097698,RY-5828,8.33,2,,
00082,20099364,RY-5828,8.33,2,,
00082,20911329,RY-5828,8.33,2,,
00082,20094370,RY-5828,8.33,2,,
00082,20095542,RY-5828,8.33,2,,
00082,20591983,RY-5828,8.33,2,,
00036,90302745,RY-5828,8.33,2,,
00082,20092500,RY-5828,8.33,2,,
00082,20093100,RY-5828,8.33,2,,
00036,78288,RY-5828,8.33,2,,
00036,79449,RY-5828,8.33,2,,
00036,90203231,RY-5828,8.33,2,,
00008,79258,RW-8199,8.33,2,,
00036,78287,RO-3106,8.33,2,,
00036,79448,RO-3106,8.33,2,,
00026,20194623,UQ-9014,11.25,2,,
00026,20095588,UQ-9014,11.25,2,,
00026,20097297,UQ-9014,11.25,2,,
00026,90401769,UQ-9014,11.25,2,,
00026,90302440,UQ-9014,11.25,2,,
00026,90601849,UQ-9014,11.25,2,,
00026,79043,UQ-9014,8.33,2,,
00026,80897,UQ-9014,11.25,2,,
00026,90402815,UQ-9014,11.25,2,,
00078,20791610,RF-2339,10,2,,
00078,20694915,RF-2339,10,2,,
00078,20913099,RF-2339,10,2,,
00078,20914969,RF-2339,10,2,,
00078,20097523,RF-2339,10,2,,
00078,20099177,RF-2339,10,2,,
00078,20911141,RF-2339,10,2,,
00078,20093023,RF-2339,10,2,,
00078,20094209,RF-2339,10,2,,
00078,20196320,RF-2339,10,2,,
00078,20191091,RF-2339,10,2,,
00008,73704,RF-2339,8.33,2,,
00078,20092423,RF-2339,10,2,,
00008,81007,RF-2339,8.33,2,,
00008,90203015,RF-2339,8.33,2,,
00008,79163,RF-2339,8.33,2,,
00134,11411676,VG-1787,20,2,,
00134,11407495,VG-1787,20,2,,
00134,11409487,VG-1787,20,2,,
00134,11410985,VG-1787,20,2,,
00134,11405207,VG-1787,20,2,,
00134,11406110,VG-1787,20,2,,
00134,11407455,VG-1787,20,2,,
00134,11401618,VG-1787,20,2,,
00134,11401988,VG-1787,20,2,,
00134,11403292,VG-1787,20,2,,
00104,20493000,VG-1787,0,2,,
00134,10409337,VG-1787,20,2,,
00134,10410298,VG-1787,20,2,,
00072,20915599,RGU-611,8.33,2,,
00072,20099970,RGU-611,8.33,2,,
00072,20911697,RGU-611,8.33,2,,
00072,20913651,RGU-611,8.33,2,,
00072,20096175,RGU-611,8.33,2,,
00072,20097976,RGU-611,8.33,2,,
00072,20693319,RGU-611,8.33,2,,
00072,20092693,RGU-611,8.33,2,,
00072,20093349,RGU-611,8.33,2,,
00072,20094789,RGU-611,8.33,2,,
00022,81431,RGU-611,8.33,2,,
00072,90203478,RGU-611,8.33,2,,
00072,20092219,RGU-611,8.33,2,,
00093,20592474,RGK-368,8.33,2,,
00072,20693961,RGK-368,0,2,,
00085,20096943,LGL-485,8.33,2,,
00085,20098902,LGL-485,8.33,2,,
00085,20092878,LGL-485,8.33,2,,
00085,20194651,LGL-485,8.33,2,,
00085,20095943,LGL-485,8.33,2,,
00072,20915601,RP-5610,8.33,2,,
00072,20099972,RP-5610,8.33,2,,
00072,20911699,RP-5610,8.33,2,,
00072,20913653,RP-5610,8.33,2,,
00072,20096177,RP-5610,8.33,2,,
00072,20097978,RP-5610,8.33,2,,
00072,20693321,RP-5610,8.33,2,,
00072,20092695,RP-5610,8.33,2,,
00072,20093351,RP-5610,8.33,2,,
00072,20094791,RP-5610,8.33,2,,
00022,81433,RP-5610,8.33,2,,
00072,90203480,RP-5610,8.33,2,,
00072,20092221,RP-5610,8.33,2,,
00126,11407025,RIB-489,9.17,2,,
00126,11402522,RIB-489,9.17,2,,
00126,11404822,RIB-489,9.17,2,,
00126,11405716,RIB-489,9.17,2,,
00126,10408613,RIB-489,9.17,2,,
00126,10409807,RIB-489,9.17,2,,
00126,11401388,RIB-489,9.17,2,,
00126,10404363,RIB-489,9.17,2,,
00126,10405818,RIB-489,9.17,2,,
00126,10407547,RIB-489,9.17,2,,
00126,10004694,RIB-489,9.17,2,,
00090,10401263,RIB-489,8.33,2,,
00126,10402554,RIB-489,9.17,2,,
00090,20297685,RIB-489,8.33,2,,
00090,20913724,RIB-489,8.33,2,,
00090,20915669,RIB-489,8.33,2,,
00090,20910123,RIB-489,8.33,2,,
00090,20911821,RIB-489,8.33,2,,
00090,20296179,RIB-489,8.33,2,,
00090,20096063,RIB-489,8.33,2,,
00090,20693512,RIB-489,8.33,2,,
00090,20098287,RIB-489,8.33,2,,
00066,20094556,RIB-489,8.33,2,,
00090,20493612,RIB-489,8.33,2,,
00090,20592456,RIB-489,8.33,2,,
00066,90302974,RIB-489,8.33,2,,
00066,20093419,RIB-489,8.33,2,,
00066,90601198,RIB-489,8.33,2,,
00026,20097298,UQ-9185,11.25,2,,
00026,20194624,UQ-9185,11.25,2,,
00026,20095589,UQ-9185,11.25,2,,
00026,90401770,UQ-9185,11.25,2,,
00026,90302441,UQ-9185,11.25,2,,
00026,90601850,UQ-9185,11.25,2,,
00026,80898,UQ-9185,11.25,2,,
00026,90402816,UQ-9185,11.25,2,,
00026,79044,UQ-9185,8.33,2,,
00026,20194631,VI-2336,11.25,2,,
00026,20095596,VI-2336,11.25,2,,
00026,20097305,VI-2336,11.25,2,,
00026,90401778,VI-2336,11.25,2,,
00026,90302448,VI-2336,11.25,2,,
00026,90601857,VI-2336,11.25,2,,
00026,79052,VI-2336,8.33,2,,
00026,80906,VI-2336,11.25,2,,
00026,90402823,VI-2336,11.25,2,,
00072,20915438,RP-3008,8.33,2,,
00072,20099928,RP-3008,8.33,2,,
00072,20911655,RP-3008,8.33,2,,
00072,20913610,RP-3008,8.33,2,,
00072,20096133,RP-3008,8.33,2,,
00072,20097934,RP-3008,8.33,2,,
00072,20693282,RP-3008,8.33,2,,
00072,20092650,RP-3008,8.33,2,,
00072,20093306,RP-3008,8.33,2,,
00072,20094746,RP-3008,8.33,2,,
00022,81378,RP-3008,8.33,2,,
00072,90203430,RP-3008,8.33,2,,
00072,20092176,RP-3008,8.33,2,,
00150,11409031,RGB-607,9.17,2,,
00150,11410186,RGB-607,9.17,2,,
00125,11404621,RGB-607,9.17,2,,
00125,11405506,RGB-607,9.17,2,,
00125,11406620,RGB-607,9.17,2,,
00125,10410761,RGB-607,9.17,2,,
00125,11400706,RGB-607,9.17,2,,
00125,11403917,RGB-607,9.17,2,,
00125,10407419,RGB-607,9.17,2,,
00125,10408397,RGB-607,9.17,2,,
00125,10409544,RGB-607,9.17,2,,
00125,10402435,RGB-607,9.17,2,,
00125,10404000,RGB-607,9.17,2,,
00125,10405485,RGB-607,9.17,2,,
00092,20913214,RGB-607,8.33,2,,
00092,20915226,RGB-607,8.33,2,,
00092,10400806,RGB-607,8.33,2,,
00092,20099448,RGB-607,8.33,2,,
