Concesionario,Direccion,Responsable,Celular,Distrito,DiaVisita,Promotor,Cono
A Y CAMI MOTOR,AV PRINCIPAL MZ A LT 17 CAMPOY,QUISPE JAURI ABEL, ,SAN JUAN DE LURIGANCHO,JU,7,17
ACCESORIOS INCA,VIAL METROPOLITANA MZ.A LT.16 B -ATE,ANGELICA GARCIA SILVA, ,ATE,LU,5,17
ACCESORIOS RODRIGUEZ,AV URUBAMBA 381 COOP 27 DE ABRIL,RODRIGUEZ MARTINEZ OSCAR, ,ATE,JU,5,17
ACCESORIOS Y REPUESTOS DANIEL CAR,AV. MIGUEL GRAU MZ.D LT.8,FLOR ROCIO   COCA SALCEDO, ,ATE,LU,5,17
ACCESORIOS Y REPUESTOS LOBOCAR,AV MEXICO 946,BELEN YAHUAIRE TACUMAN, ,LA VICTORIA,VI,5,17
ALINEAMIENTO LA SOLUCION,AV. PROCERES DE LA INDEPENDENCIA N∫2316,CRISTOBAL FIGUEROA ABNER,996200806,SAN JUAN DE LURIGANCHO,LU,7,17
"ARZAPALO CAR SERVICE S.A. \""ACSA\"" - CE",AV.METROPILITANA MZ.A LT.22,Katty Arzapalo Camavilca, ,ATE,LU,5,17
ASESORAMIENTO LICENCIA DE CONDUCIR,CARRETERA CENTRAL KM 6 Y 1/2  MZ L LT 25,APOLINARIO CORDOVA EDWIN, ,ATE,LU,5,17
ASOC CHOFERES TAXI EXODO,AV. 13 DE ENERO 2045,SRA. MARIA ALVARADO CAMACHO, ,SAN JUAN DE LURIGANCHO,MA,7,17
ASOC. PERUANA DE VEHICULOS MENORES-CE,AV. LOS POSTES 17 N∞ 576 S.J.L,WILO MARCOS SANCHEZ, ,SAN JUAN DE LURIGANCHO,MA,7,17
AUTOACCESORIOS CHANCHAMAYO III,AV WIESSE LT 42 MZ 6 URB BAYOVAR,LANDA AGUILOS PEDRO, ,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOACCESORIOS FORTALEZA,AV.METROPOLITANA LT 8 MZ J,ARMANDO ROJAS,99840352,SANTA ANITA,JU,5,17
