ncontrato,fechaemision,fechavigenciacontdesde,fechavigenciaconthasta,fechavigenciacertdesde,fechavigenciacerthasta,cuotas,flotas,cliename,num_doc
00024,2/06/2009,6/02/2009,6/02/2010,6/11/2009,6/02/2010,12,31,EMP. TRANSP. Y SERV. WISSE S.A,20262262520
00096,5/02/2010,6/02/2010,6/02/2011,6/09/2010,6/10/2010,12,26,EMP. TRANSP. Y SERV. WISSE S.A,20262262520
00131,7/02/2011,8/02/2011,8/02/2012,8/02/2011,8/06/2011,3,3,EMP. TRANSP. Y SERV. WISSE S.A,20262262520
00253,18/10/2016,1/08/2016,1/08/2017,1/07/2017,1/08/2017,12,6,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00215,2/08/2014,2/08/2014,2/08/2015,2/07/2015,2/08/2015,12,26,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00234,1/08/2015,2/08/2015,2/08/2016,2/07/2016,2/08/2016,12,0,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00187,1/08/2013,1/08/2013,1/08/2014,1/07/2014,1/08/2014,12,30,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00144,1/08/2011,1/08/2011,1/08/2012,1/07/2012,1/08/2012,12,33,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00166,2/08/2012,1/08/2012,1/08/2013,1/07/2013,1/08/2013,12,30,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00077,31/08/2009,1/08/2009,1/08/2010,1/07/2010,1/08/2010,12,52,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00119,27/07/2010,1/08/2010,1/08/2011,1/07/2011,1/08/2011,12,30,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00031,6/07/2009,1/08/2008,1/08/2009,1/05/2009,1/06/2009,12,42,INVERCIONES Y SERV. MULT.SAN ILDEFONSO S.A,20509029351
00042,6/05/2009,18/06/2008,18/06/2009,18/05/2009,18/06/2009,12,7,ET. EMP. Y SERV. H2 S.A.,20506010218
00059,10/06/2009,12/06/2009,12/06/2010,12/05/2010,12/06/2010,12,9,ET. EMP. Y SERV. H2 S.A.,20506010218
00008,6/05/2009,14/08/2008,14/08/2009,14/02/2009,14/03/2009,12,99,E.T.S. PROYECTO SIETE S.A.,20253358484
00078,13/08/2009,14/08/2009,14/08/2010,14/07/2010,14/08/2010,12,142,E.T.S. PROYECTO SIETE S.A.,20253358484
00198,9/01/2014,9/01/2014,9/01/2015,9/12/2014,9/01/2015,12,0,E.T Y SERV. CONEXOS NESTOR GAMBETA S.A,20176857162
00098,12/02/2010,13/02/2010,13/02/2011,13/01/2011,13/02/2011,12,12,EMP DE TRANSP DE SERVICIO URBANO 26 DE MAYO S.A.,20101346685
00132,9/02/2011,13/02/2011,13/02/2012,13/01/2012,13/02/2012,12,9,EMP DE TRANSP DE SERVICIO URBANO 26 DE MAYO S.A.,20101346685
00104,7/05/2010,10/05/2010,10/05/2011,10/04/2011,10/05/2011,10,4,EMP. DE TRANSP. BALDEON HUARI SRL,20516609193
00134,10/05/2011,10/05/2011,10/05/2012,10/04/2012,10/05/2012,12,10,EMP. DE TRANSP. BALDEON HUARI SRL,20516609193
00062,19/06/2009,19/07/2008,19/07/2009,19/06/2009,19/07/2009,12,5,EMPRESA DE TRANSPORTE CARMELITAS 2001 SAC,20346348667
00013,30/04/2009,30/09/2008,30/09/2009,30/05/2008,30/06/2008,12,50,E.T.S VIRGENCITA DE PACHACAMAC S.A,20415632810
00067,27/06/2009,30/06/2009,30/06/2010,30/05/2010,30/06/2010,12,59,E.T.S VIRGENCITA DE PACHACAMAC S.A,20415632810
00174,22/01/2013,23/01/2013,23/01/2014,23/12/2013,23/01/2014,12,3,EMPRESA DE SERVICIO DE TRANSPORTISTAS JOSE OLAYA S,20143750231
00093,13/01/2010,23/01/2010,23/01/2011,23/12/2010,23/01/2011,12,26,EMPRESA DE SERVICIO DE TRANSPORTISTAS JOSE OLAYA S,20143750231
00128,21/01/2011,23/01/2011,23/01/2012,23/12/2011,23/01/2012,12,19,EMPRESA DE SERVICIO DE TRANSPORTISTAS JOSE OLAYA S,20143750231
00152,20/01/2012,23/01/2012,23/01/2013,23/12/2012,23/01/2013,12,9,EMPRESA DE SERVICIO DE TRANSPORTISTAS JOSE OLAYA S,20143750231
00076,10/08/2009,10/08/2009,10/08/2010,10/07/2010,10/08/2010,12,75,EMPRESA DE TRANSPORTES TUMI S.A.,20110017775
00268,19/12/2017,20/12/2017,20/12/2018,20/02/2018,20/03/2018,12,58,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00221,15/12/2014,20/12/2014,20/12/2015,20/11/2015,20/12/2015,12,71,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00240,18/12/2015,20/12/2015,20/12/2016,20/11/2016,20/12/2016,12,69,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00256,20/12/2016,20/12/2016,20/12/2017,20/11/2017,20/12/2017,12,65,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00150,20/12/2011,20/12/2011,20/12/2012,20/11/2012,20/12/2012,12,60,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00171,19/12/2012,20/12/2012,20/12/2013,20/11/2013,20/12/2013,12,56,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00195,20/12/2013,20/12/2013,20/12/2014,20/11/2014,20/12/2014,12,60,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00092,22/12/2009,20/12/2009,20/12/2010,26/11/2010,20/12/2010,12,90,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00125,17/12/2010,20/12/2010,20/12/2011,20/11/2011,20/12/2011,12,58,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
